Username,Display Name,EHB,Timestamp
jarnmadurinn,277.42
hoboharry,310.81
velGrilladur,291.64
Tofrateppi,404.65
R N G,216.13
pepsimaxl1me,2740.82
bbqing,1942.96
Edda Falak,765.05
oddodois,433.27
nocco peach,335.84
Atvinnulaus,771.37
gaddiskvisa,750.17
pepsimaxt1me,284.64
Chosen One,149.95
JoeJoeMen,522.81
Base Duck,197.91
brynjar95,817.96
ostasulta,231.27
oddur,385.63
R N G Junior,7.17
Jon Otter,287.56
dalei llama,236.52
69mori,1054.72
7homsen,1663.74
Addi paddi,417.59
agrippa021,657.18
andri thor,97.14
atvinnugamer,0.34
Azmoteuz,65.86
bbqts,5.85
bigtwt,2.93
binni glee,444.73
bjossid,21.12
BundaBoss,2.75
Burgersen,130.4
ChunkChum,220.82
curliwurli,306.43
danni7,1.05
DaudurMadur,3.38
Deadsen,17.52
DKs Expert,167.68
DKs Survivor,51.72
donakarl,910.58
dreamood,341.88
drojn,9.65
droplaug,579.67
egillsgull,15.24
egill tg,190.58
ekki i lagi,0.17
Fall In Lava,111.82
feiminn,284.95
feimnari,256.09
feimnastur,6.18
fiskimadur,441.02
full sterkur,1.11
gamepoint,132.43
GIM Atli605,17.66
gjemleh,26.8
glacier snow,168.77
Graenmeti,84.04
guttormur,167.95
HardcoreIron,0.37
HC 7homsen,6.06
hc stugex,1.99
hedge7,920.93
Helhundur,942.9
Hnerri,163.09
icetryhk,63.51
ichbin swole,26.74
IronJoeJoe,49.62
Jarni Gucci,212.82
Jarnklosett,54.82
pungur,888.46
jon arnar,150.44
juicyfer,455.33
kagdmmaxt1me,62.37
Karelz,133.7
kiddibigger,4.99
kingofbiceps,123.08
kjani,106.33
Kristinatla,122.63
L1meMaxPepsi,49.87
Ljonina,438.79
lonbenis69,195.86
MaxL1me,442.67
Mekki605,121.62
mjofeitur,93.63
mjukur laxi,325.45
MrPlz,4.62
mundieee,115.79
nocco limon,1.6
ok3r,51.64
paandaboi,207.74
peepoflute,0.23
pepsimaxl2me,270.36
Plankinn,565.15
RagedBerzerk,132.73
rich bale,1.35
runarrr,309.75
Runarrs,276.33
r o e,192.04
saevar9,0.62
sassi66,5.36
seifur jr,183.43
skarii,281.08
slepehead,3.49
snakurinn,95.95
SnoTheGreat,0.83
sody,0.41
soleyhanna,0.51
starcrust,78.35
Svarturmadur,1267.0
toti turbo,310.44
user 7,939.76
var ad pissa,2.36
wateruluki,0.55
whyzsama,711.59
Wombat,339.12
xENZ1ME,104.25
xl succ,463.87
yebrooo,6.81
ZzirBiceps,503.72
Nonni,279.56
